epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.51173,1.59258,3.98967,1.2611,0.0041,0.56944,0.07879,0.04005,1.16587,3.74645,1.00853,3.75e-05,3.75e-05,3.75e-05
2,2.63997,1.35277,3.7277,1.13412,0.00491,0.59722,0.15422,0.07399,0.94319,3.63408,0.90336,8.69225e-05,8.69225e-05,8.69225e-05
3,3.88727,1.12578,3.62168,1.05904,0.00519,0.66667,0.21106,0.15296,0.96536,3.62336,0.8884,0.000135685,0.000135685,0.000135685
4,5.13258,1.08897,3.21855,1.01253,0.00552,0.72222,0.28707,0.22124,0.96736,3.59153,0.84932,0.000183787,0.000183787,0.000183787
5,6.35331,1.10883,2.96378,1.03743,0.00566,0.73611,0.31914,0.25244,0.98357,3.58469,0.86249,0.00023123,0.00023123,0.00023123
6,7.57455,1.11416,2.53222,1.01633,0.00534,0.68611,0.30896,0.2536,0.97344,3.55947,0.90139,0.000278012,0.000278012,0.000278012
7,8.7329,1.13623,2.45334,1.03573,0.00541,0.72778,0.33626,0.28345,0.95213,3.50465,0.93125,0.000324135,0.000324135,0.000324135
8,9.94635,1.19879,2.24349,1.0921,0.00536,0.63056,0.36358,0.28565,0.97664,3.48978,0.89442,0.000369597,0.000369597,0.000369597
9,11.1089,1.11099,2.10321,1.05029,0.0073,0.63056,0.39961,0.33188,0.98476,3.46031,0.89353,0.0004144,0.0004144,0.0004144
10,12.2754,0.9891,1.90034,0.98053,0.01323,0.68056,0.40406,0.27141,1.03496,3.50938,0.8994,0.000458542,0.000458542,0.000458542
11,13.4594,1.06305,1.72875,1.00105,0.0155,0.63056,0.37017,0.24159,1.16745,3.54586,0.95221,0.000502025,0.000502025,0.000502025
12,14.6382,1.00069,1.64191,1.00835,0.01627,0.625,0.3571,0.23523,1.1658,3.55163,0.95961,0.000544848,0.000544848,0.000544848
13,15.8139,1.00225,1.50153,0.97713,0.01309,0.625,0.37778,0.27342,1.1654,3.55187,0.94538,0.00058701,0.00058701,0.00058701
14,16.9672,0.96357,1.51907,0.99418,0.01023,0.56111,0.35541,0.26457,1.16349,3.51792,0.94043,0.000628512,0.000628512,0.000628512
15,18.1952,0.88684,1.47983,0.96503,0.00754,0.56111,0.35914,0.28328,1.02213,3.44672,0.94784,0.000669355,0.000669355,0.000669355
16,19.4237,0.91245,1.40297,0.96579,0.00758,0.575,0.38268,0.30327,1.06125,3.41365,0.96187,0.000709538,0.000709538,0.000709538
17,20.606,0.93393,1.4036,0.96534,0.00683,0.61111,0.39785,0.30557,1.11905,3.3736,0.96374,0.00074906,0.00074906,0.00074906
18,21.8156,1.00468,1.36658,1.00898,0.00663,0.63056,0.35452,0.28261,1.19811,3.29155,0.9937,0.000787922,0.000787922,0.000787922
19,22.9835,0.94116,1.32567,0.97661,0.00695,0.68611,0.32254,0.22625,1.33669,3.30748,1.04614,0.000826125,0.000826125,0.000826125
20,24.154,1.02482,1.33877,0.9685,0.00682,0.7,0.3177,0.21234,1.31538,3.30804,1.04817,0.000863668,0.000863668,0.000863668
21,25.3905,0.96693,1.25822,1.0038,0.17355,0.75,0.40593,0.23065,1.24899,3.16548,0.98183,0.00090055,0.00090055,0.00090055
22,26.5657,0.90776,1.16773,0.95554,0.84186,0.26423,0.49733,0.35242,1.14922,2.95513,0.97603,0.000936772,0.000936772,0.000936772
23,27.7573,0.88924,1.24758,0.97379,0.66434,0.29667,0.44902,0.34076,1.17607,2.87854,0.96894,0.000972335,0.000972335,0.000972335
24,28.97,0.99502,1.2918,1.00733,0.5204,0.24481,0.4207,0.32212,1.19189,2.86917,0.98882,0.00100724,0.00100724,0.00100724
25,30.1606,0.86755,1.22919,0.97491,0.54468,0.27821,0.40974,0.31764,1.14166,2.8531,0.99017,0.00104148,0.00104148,0.00104148
26,31.3648,0.98339,1.31738,0.96667,0.53734,0.33551,0.46168,0.34947,1.19422,2.71524,1.04278,0.00104375,0.00104375,0.00104375
27,32.5551,0.89242,1.14652,0.9798,0.87388,0.33926,0.49211,0.3416,1.3269,2.59773,1.11834,0.0010355,0.0010355,0.0010355
28,33.7391,0.88635,1.1167,0.94792,0.97081,0.29303,0.52203,0.35576,1.35266,2.52816,1.15046,0.00102725,0.00102725,0.00102725
29,34.9409,0.84456,1.07447,0.93902,0.97138,0.38017,0.57343,0.38718,1.3253,2.51884,1.12807,0.001019,0.001019,0.001019
30,36.1574,0.83374,1.1618,0.94536,0.97545,0.34829,0.62729,0.40491,1.29709,2.55601,1.06182,0.00101075,0.00101075,0.00101075
31,37.3644,0.78802,1.07967,0.93384,0.92595,0.43812,0.61776,0.38441,1.2722,2.57605,1.0544,0.0010025,0.0010025,0.0010025
32,38.5887,0.82228,1.0928,0.93489,0.73738,0.40507,0.57145,0.38484,1.2828,2.58557,1.05091,0.00099425,0.00099425,0.00099425
33,39.8369,0.85708,1.06483,0.96263,0.58241,0.40092,0.60595,0.40759,1.26359,2.6102,1.03039,0.000986,0.000986,0.000986
34,41.0523,0.79361,1.03202,0.95855,0.58127,0.4369,0.56112,0.40727,1.19124,2.64783,1.00996,0.00097775,0.00097775,0.00097775
35,42.297,0.82245,1.06454,0.94743,0.65789,0.59269,0.57483,0.42375,1.21574,2.59716,1.02767,0.0009695,0.0009695,0.0009695
36,43.603,0.80469,1.02541,0.92711,0.72157,0.59723,0.62586,0.41864,1.30709,2.54042,1.06766,0.00096125,0.00096125,0.00096125
