epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.80016,1.26949,3.42581,1.0512,0.00491,0.75,0.07443,0.03986,0.72841,3.33188,0.79749,3.334e-05,3.334e-05,3.334e-05
2,2.42666,1.562,3.54894,1.22296,0.00488,0.75,0.0899,0.05623,0.69711,3.27808,0.76338,8.27999e-05,8.27999e-05,8.27999e-05
3,3.05757,1.25357,3.39234,1.13383,0.00498,0.75,0.09645,0.08391,0.5707,3.17973,0.69595,0.0001316,0.0001316,0.0001316
4,3.72427,1.48404,3.33268,1.28825,0.00764,1,0.27582,0.24691,0.62135,3.09153,0.6721,0.000179739,0.000179739,0.000179739
5,4.38727,1.14379,3.0988,1.02597,0.00777,1,0.32511,0.29051,0.7273,3.09683,0.68135,0.000227219,0.000227219,0.000227219
6,5.04119,1.07925,2.99036,0.92675,0.00794,1,0.38459,0.33924,0.75236,3.14753,0.69375,0.000274038,0.000274038,0.000274038
7,5.67667,1.13942,3.06556,1.05638,0.00827,1,0.51487,0.47852,0.63949,3.13669,0.69395,0.000320197,0.000320197,0.000320197
8,6.30957,1.07398,2.80381,1.01305,0.00839,1,0.51888,0.48107,0.56675,3.09482,0.69025,0.000365696,0.000365696,0.000365696
9,7.00138,1.02546,2.74002,1.01308,0.00839,1,0.51888,0.48107,0.56675,3.09482,0.69025,0.000410535,0.000410535,0.000410535
10,7.63017,1.0521,2.46903,0.93669,0.00877,1,0.51272,0.45951,0.55778,3.05331,0.69326,0.000454714,0.000454714,0.000454714
11,8.2137,0.99892,2.38598,0.90315,0.00877,1,0.51272,0.45951,0.55778,3.05331,0.69326,0.000498233,0.000498233,0.000498233
12,8.85269,1.09846,2.27197,0.97724,0.00849,1,0.50739,0.45467,0.59372,2.9725,0.69884,0.000541092,0.000541092,0.000541092
13,9.4716,1.03472,2.1341,0.8929,0.00849,1,0.50739,0.45467,0.59372,2.9725,0.69884,0.00058329,0.00058329,0.00058329
14,10.0984,0.81435,2.07982,0.94464,0.00804,1,0.50917,0.45707,0.66413,2.90678,0.73986,0.000624828,0.000624828,0.000624828
